attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
7,50,898052,71198,16377,10960,4645,2694,2547,42309,L,884916.3333333334,176827.79839814018,1054810.0,701887.0,352923.0,193640.66666666666,111018.54732130723,287740.0,71198.0,216542.0,46194.333333333336,31718.521187680457,79522.0,16377.0,63145.0,23898.666666666668,11319.578010391257,31973.0,10960.0,21013.0,26632.666666666668,19086.1000818222,38925.0,4645.0,34280.0,11451.666666666666,8103.746931718275,18685.0,2694.0,15991.0,4265.333333333333,2010.237382334069,6476.0,2547.0,3929.0,130524.33333333333,76711.92596548032,181579.0,42309.0,139270.0
20,40,81795,18198,7889,2917,947,1934,278,9774,L,560578.0,426081.0341038427,898052.0,81795.0,816257.0,125712.0,142800.7513565667,287740.0,18198.0,269542.0,34596.0,39137.84157308627,79522.0,7889.0,71633.0,15283.333333333334,15002.706166999782,31973.0,2917.0,29056.0,14839.0,20940.87744102429,38925.0,947.0,37978.0,5868.0,6167.426367618829,12976.0,1934.0,11042.0,2199.3333333333335,1773.248525541001,3773.0,278.0,3495.0,73256.0,83380.20500694396,167685.0,9774.0,157911.0
4,35,824877,198856,23122,11989,20241,3570,1061,35338,L,601574.6666666666,451626.8609885082,898052.0,81795.0,816257.0,96084.0,92864.48722735714,198856.0,18198.0,180658.0,15796.0,7633.101794159358,23122.0,7889.0,15233.0,8622.0,4967.391569022916,11989.0,2917.0,9072.0,8611.0,10240.189256063592,20241.0,947.0,19294.0,2732.6666666666665,818.6851246561722,3570.0,1934.0,1636.0,1295.3333333333333,1152.5078452372181,2547.0,278.0,2269.0,29140.333333333332,17130.086407643656,42309.0,9774.0,32535.0
4,30,465150,112652,16362,14946,22755,4743,1198,32504,L,457274.0,371603.6036060468,824877.0,81795.0,743082.0,109902.0,90360.39019393387,198856.0,18198.0,180658.0,15791.0,7632.535817144837,23122.0,7889.0,15233.0,9950.666666666666,6268.19849185819,14946.0,2917.0,12029.0,14647.666666666666,11931.523345044148,22755.0,947.0,21808.0,3415.6666666666665,1410.8452549210697,4743.0,1934.0,2809.0,845.6666666666666,496.36310633782654,1198.0,278.0,920.0,25872.0,14013.104295622892,35338.0,9774.0,25564.0
26,24,1240280,26899,4574,4726,20506,7926,2496,5571,L,843435.6666666666,387898.1145949712,1240280.0,465150.0,775130.0,112802.33333333333,85978.59857158242,198856.0,26899.0,171957.0,14686.0,9386.895546451913,23122.0,4574.0,18548.0,10553.666666666666,5259.014768312911,14946.0,4726.0,10220.0,21167.333333333332,1381.3291907917624,22755.0,20241.0,2514.0,5413.0,2253.965172756665,7926.0,3570.0,4356.0,1585.0,791.9172936614036,2496.0,1061.0,1435.0,24471.0,16429.10189267827,35338.0,5571.0,29767.0
26,24,981192,109390,62630,30031,16013,3212,1635,1853,L,895540.6666666666,394599.47085789836,1240280.0,465150.0,775130.0,82980.33333333333,48595.2376507545,112652.0,26899.0,85753.0,27855.333333333332,30687.087143183413,62630.0,4574.0,58056.0,16567.666666666668,12730.204567615296,30031.0,4726.0,25305.0,19758.0,3432.67665240991,22755.0,16013.0,6742.0,5293.666666666667,2404.7607642618664,7926.0,3212.0,4714.0,1776.3333333333333,660.441014272535,2496.0,1198.0,1298.0,13309.333333333334,16726.694303816836,32504.0,1853.0,30651.0
78,75,4092,9216,8197,3627,6416,6306,1462,150387,L,741854.6666666666,651921.7454429123,1240280.0,4092.0,1236188.0,48501.666666666664,53466.94281828072,109390.0,9216.0,100174.0,25133.666666666668,32523.26540083779,62630.0,4574.0,58056.0,12794.666666666666,14937.21327200403,30031.0,3627.0,26404.0,14311.666666666666,7197.424979347371,20506.0,6416.0,14090.0,5814.666666666667,2395.100276258453,7926.0,3212.0,4714.0,1864.3333333333333,553.8360166451208,2496.0,1462.0,1034.0,52603.666666666664,84703.25312131368,150387.0,1853.0,148534.0
84,70,3171,5592,1845,3870,3092,3702,1500,130948,L,329485.0,564395.005689278,981192.0,3171.0,978021.0,41399.333333333336,58909.518834678136,109390.0,5592.0,103798.0,24224.0,33411.86320754949,62630.0,1845.0,60785.0,12509.333333333334,15174.694867882297,30031.0,3627.0,26404.0,8507.0,6709.491113340881,16013.0,3092.0,12921.0,4406.666666666667,1663.0169371757188,6306.0,3212.0,3094.0,1532.3333333333333,90.91937820583259,1635.0,1462.0,173.0,94396.0,80731.80176981064,150387.0,1853.0,148534.0
91,54,5922,9103,600,2927,4434,4529,1662,149512,L,4395.0,1400.3060380877137,5922.0,3171.0,2751.0,7970.333333333333,2060.4718715116082,9216.0,5592.0,3624.0,3547.3333333333335,4074.5621032610766,8197.0,600.0,7597.0,3474.6666666666665,489.60834687870937,3870.0,2927.0,943.0,4647.333333333333,1672.2372240007262,6416.0,3092.0,3324.0,4845.666666666667,1330.5684248971609,6306.0,3702.0,2604.0,1541.3333333333333,106.21362122315202,1662.0,1462.0,200.0,143615.66666666666,10979.24133687443,150387.0,130948.0,19439.0
90,48,21771,10483,3590,4288,3347,3137,1865,146936,L,10288.0,10039.246336269613,21771.0,3171.0,18600.0,8392.666666666666,2521.686010051737,10483.0,5592.0,4891.0,2011.6666666666667,1501.9515083155072,3590.0,600.0,2990.0,3695.0,697.1721451693048,4288.0,2927.0,1361.0,3624.3333333333335,712.6895069619527,4434.0,3092.0,1342.0,3789.3333333333335,700.0973741796952,4529.0,3137.0,1392.0,1675.6666666666667,182.8833872535583,1865.0,1500.0,365.0,142465.33333333334,10057.1203300613,149512.0,130948.0,18564.0
