attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
66,64,22925,56200,4799,57140,244,59142,1442,208867,N,228884.0,269312.64151725185,533643.0,22925.0,510718.0,412683.3333333333,330877.0261491931,709960.0,56200.0,653760.0,48088.666666666664,76735.92053486638,136688.0,2779.0,133909.0,116149.66666666667,73857.98008565695,198978.0,57140.0,141838.0,2154.3333333333335,1749.6743506531247,3679.0,244.0,3435.0,100209.0,35787.56916863731,124727.0,59142.0,65585.0,2767.0,2174.8505695794406,5277.0,1442.0,3835.0,491435.0,244806.94877596907,639570.0,208867.0,430703.0
66,64,102098,100651,1563,51093,705,49933,1047,187694,N,85035.66666666667,55579.719631652966,130084.0,22925.0,107159.0,209580.33333333334,228251.4923726327,471890.0,56200.0,415690.0,3047.0,1634.5617149560537,4799.0,1563.0,3236.0,102403.66666666667,83690.45911173684,198978.0,51093.0,147885.0,1163.0,1214.5892309748617,2540.0,244.0,2296.0,77934.0,40784.67919452106,124727.0,49933.0,74794.0,2588.6666666666665,2336.5269810839654,5277.0,1047.0,4230.0,340809.6666666667,247094.64590381813,625868.0,187694.0,438174.0
61,63,48623,266240,3571,62245,773,35379,1107,194451,N,57882.0,40390.441852000295,102098.0,22925.0,79173.0,141030.33333333334,110689.06143036019,266240.0,56200.0,210040.0,3311.0,1633.5923604131015,4799.0,1563.0,3236.0,56826.0,5582.626890626944,62245.0,51093.0,11152.0,574.0,287.803752581702,773.0,244.0,529.0,48151.333333333336,11981.268477641692,59142.0,35379.0,23763.0,1198.6666666666667,212.85754234545965,1442.0,1047.0,395.0,197004.0,10814.912805933605,208867.0,187694.0,21173.0
67,67,69293,128170,4287,61438,627,42966,1137,192085,N,73338.0,26966.004987758508,102098.0,48623.0,53475.0,165020.33333333334,88732.12231392886,266240.0,100651.0,165589.0,3140.3333333333335,1412.143524339293,4287.0,1563.0,2724.0,58258.666666666664,6218.753599660042,62245.0,51093.0,11152.0,701.6666666666666,73.05705532966724,773.0,627.0,146.0,42759.333333333336,7279.200665823843,49933.0,35379.0,14554.0,1097.0,45.825756949730476,1137.0,1047.0,90.0,191410.0,3428.6996077153303,194451.0,187694.0,6757.0
64,64,158588,783049,7162,227994,4865,142389,2095,738220,N,92168.0,58442.48903836844,158588.0,48623.0,109965.0,392486.3333333333,345210.4121696416,783049.0,128170.0,654879.0,5006.666666666667,1900.594731480967,7162.0,3571.0,3591.0,117225.66666666667,95929.03921302088,227994.0,61438.0,166556.0,2088.3333333333335,2405.771671072181,4865.0,627.0,4238.0,73578.0,59712.694906527184,142389.0,35379.0,107010.0,1446.3333333333333,561.9620390501029,2095.0,1107.0,988.0,374918.6666666667,314630.407923858,738220.0,192085.0,546135.0
64,64,29979,268277,1102,68292,288,43066,1603,178007,N,85953.33333333333,65903.29089152643,158588.0,29979.0,128609.0,393165.3333333333,344839.7425070577,783049.0,128170.0,654879.0,4183.666666666667,3031.32121909462,7162.0,1102.0,6060.0,119241.33333333333,94244.90017679098,227994.0,61438.0,166556.0,1926.6666666666667,2550.3102425652914,4865.0,288.0,4577.0,76140.33333333333,57373.050087417614,142389.0,42966.0,99423.0,1611.6666666666667,479.05879945299984,2095.0,1137.0,958.0,369437.3333333333,319452.71785717097,738220.0,178007.0,560213.0
53,61,305360,482352,5450,214420,1430,160069,3573,754223,N,164642.33333333334,137790.2935780788,305360.0,29979.0,275381.0,511226.0,258597.8226957845,783049.0,268277.0,514772.0,4571.333333333333,3124.090480977344,7162.0,1102.0,6060.0,170235.33333333334,88546.00938118731,227994.0,68292.0,159702.0,2194.3333333333335,2382.3069351646177,4865.0,288.0,4577.0,115174.66666666667,63070.51970876195,160069.0,43066.0,117003.0,2423.6666666666665,1025.3006063264327,3573.0,1603.0,1970.0,556816.6666666666,328156.36009733716,754223.0,178007.0,576216.0
69,64,441784,367429,39978,155882,2025,181012,2722,755969,N,259041.0,209773.5131683688,441784.0,29979.0,411805.0,372686.0,107134.27762859337,482352.0,268277.0,214075.0,15510.0,21301.13950003611,39978.0,1102.0,38876.0,146198.0,73543.7488030082,214420.0,68292.0,146128.0,1247.6666666666667,882.7379754680549,2025.0,288.0,1737.0,128049.0,74338.6509764604,181012.0,43066.0,137946.0,2632.6666666666665,988.0335689304035,3573.0,1603.0,1970.0,562733.0,333183.63320547406,755969.0,178007.0,577962.0
66,63,10982,160361,4371,58511,1135,44491,632,194973,N,252708.66666666666,220174.27864610602,441784.0,10982.0,430802.0,336714.0,163178.15245614393,482352.0,160361.0,321991.0,16599.666666666668,20253.41730013313,39978.0,4371.0,35607.0,142937.66666666666,78756.40224345768,214420.0,58511.0,155909.0,1530.0,453.34865170209247,2025.0,1135.0,890.0,128524.0,73524.22137636003,181012.0,44491.0,136521.0,2309.0,1513.3727234227586,3573.0,632.0,2941.0,568388.3333333334,323388.34318097064,755969.0,194973.0,560996.0
74,66,624474,478890,14087,265484,3304,175798,1649,766599,N,359080.0,314996.9400295815,624474.0,10982.0,613492.0,335560.0,161638.19422092216,478890.0,160361.0,318529.0,19478.666666666668,18405.628604677746,39978.0,4371.0,35607.0,159959.0,103546.7147185268,265484.0,58511.0,206973.0,2154.6666666666665,1090.2982772312516,3304.0,1135.0,2169.0,133767.0,77359.22427868571,181012.0,44491.0,136521.0,1667.6666666666667,1045.1250323924648,2722.0,632.0,2090.0,572513.6666666666,327003.00528486463,766599.0,194973.0,571626.0
81,74,39839,48353,2113,55398,841,43532,388,184402,N,225098.33333333334,346170.2961785328,624474.0,10982.0,613492.0,229201.33333333334,223371.37397691314,478890.0,48353.0,430537.0,6857.0,6362.33573461819,14087.0,2113.0,11974.0,126464.33333333333,120404.62400727515,265484.0,55398.0,210086.0,1760.0,1345.1992417482638,3304.0,841.0,2463.0,87940.33333333333,76088.48213976495,175798.0,43532.0,132266.0,889.6666666666666,668.8230956937347,1649.0,388.0,1261.0,381991.3333333333,333121.94381987705,766599.0,184402.0,582197.0
78,77,182261,99009,4504,63134,667,44244,335,181725,N,282191.3333333333,304859.10589374416,624474.0,39839.0,584635.0,208750.66666666666,235314.58124037704,478890.0,48353.0,430537.0,6901.333333333333,6336.763711338218,14087.0,2113.0,11974.0,128005.33333333333,119122.8326784303,265484.0,55398.0,210086.0,1604.0,1474.8115133806439,3304.0,667.0,2637.0,87858.0,76159.10606093008,175798.0,43532.0,132266.0,790.6666666666666,743.8106837988753,1649.0,335.0,1314.0,377575.3333333333,336907.0368845586,766599.0,181725.0,584874.0
