attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
27,96,114637,20147,4565,4929,1653,4487,2478,647484,N,444489.0,287421.1173817956,641182.0,114637.0,526545.0,33558.0,35310.247252037174,73609.0,6918.0,66691.0,17248.666666666668,12778.022630021173,30119.0,4565.0,25554.0,6530.333333333333,5056.873573002705,12194.0,2468.0,9726.0,5503.666666666667,4090.0060309654014,9797.0,1653.0,8144.0,2721.3333333333335,1565.2713289820833,4487.0,1504.0,2983.0,2705.3333333333335,201.7333223176909,2863.0,2478.0,385.0,473647.3333333333,280291.0309826791,647484.0,150300.0,497184.0
14,69,122597,114758,10484,1749,939,1664,1094,181987,N,292805.3333333333,301729.2939181299,641182.0,114637.0,526545.0,69504.66666666667,47438.85005281361,114758.0,20147.0,94611.0,15056.0,13376.438875874246,30119.0,4565.0,25554.0,3048.6666666666665,1667.6271565710006,4929.0,1749.0,3180.0,2551.0,2202.8445246998353,5061.0,939.0,4122.0,2551.6666666666665,1677.9559986284914,4487.0,1504.0,2983.0,2145.0,930.326286847792,2863.0,1094.0,1769.0,484209.6666666667,262014.96856922735,647484.0,181987.0,465497.0
29,48,52813,12563,1230,3701,1662,4339,2805,760427,N,96682.33333333333,38199.85870828747,122597.0,52813.0,69784.0,49156.0,56939.406977944534,114758.0,12563.0,102195.0,5426.333333333333,4686.741974264552,10484.0,1230.0,9254.0,3459.6666666666665,1603.6774405512747,4929.0,1749.0,3180.0,1418.0,414.8505755088818,1662.0,939.0,723.0,3496.6666666666665,1588.8600735537846,4487.0,1664.0,2823.0,2125.6666666666665,908.2864819721437,2805.0,1094.0,1711.0,529966.0,306604.0910408729,760427.0,181987.0,578440.0
34,30,676760,232615,15303,11950,18750,5329,3166,766952,N,284056.6666666667,341876.26807418675,676760.0,52813.0,623947.0,119978.66666666667,110118.85486297675,232615.0,12563.0,220052.0,9005.666666666666,7152.023093736008,15303.0,1230.0,14073.0,5800.0,5414.743853590841,11950.0,1749.0,10201.0,7117.0,10080.95724621427,18750.0,939.0,17811.0,3777.3333333333335,1895.958420781779,5329.0,1664.0,3665.0,2355.0,1106.8744282889547,3166.0,1094.0,2072.0,569788.6666666666,335861.9409941133,766952.0,181987.0,584965.0
20,29,1231994,84364,11743,16294,3366,4588,3997,760605,N,653855.6666666666,589924.0748217802,1231994.0,52813.0,1179181.0,109847.33333333333,112217.51594262518,232615.0,12563.0,220052.0,9425.333333333334,7317.172700800028,15303.0,1230.0,14073.0,10648.333333333334,6396.613505076979,16294.0,3701.0,12593.0,7926.0,9412.498924302727,18750.0,1662.0,17088.0,4752.0,514.9728148164758,5329.0,4339.0,990.0,3322.6666666666665,611.2481765480644,3997.0,2805.0,1192.0,762661.3333333334,3716.892026062725,766952.0,760427.0,6525.0
35,44,1303430,83992,4362,35317,23036,7623,3976,730313,N,1070728.0,343050.8188184372,1303430.0,676760.0,626670.0,133657.0,85700.34375076919,232615.0,83992.0,148623.0,10469.333333333334,5580.594980226856,15303.0,4362.0,10941.0,21187.0,12428.204174376924,35317.0,11950.0,23367.0,15050.666666666666,10343.6466168046,23036.0,3366.0,19670.0,5846.666666666667,1582.336984758094,7623.0,4588.0,3035.0,3713.0,473.83224879697707,3997.0,3166.0,831.0,752623.3333333334,19580.20256109214,766952.0,730313.0,36639.0
16,43,753493,91721,5299,17617,10916,4503,2359,692484,N,1096305.6666666667,299025.3648845421,1303430.0,753493.0,549937.0,86692.33333333333,4358.923299776702,91721.0,83992.0,7729.0,7134.666666666667,4018.3385040751837,11743.0,4362.0,7381.0,23076.0,10621.635608511526,35317.0,16294.0,19023.0,12439.333333333334,9923.085877555091,23036.0,3366.0,19670.0,5571.333333333333,1777.3036694198706,7623.0,4503.0,3120.0,3444.0,939.6962275118489,3997.0,2359.0,1638.0,727800.6666666666,34129.92124710189,760605.0,692484.0,68121.0
20,63,411357,129084,75611,22018,17059,6193,3615,707430,N,822760.0,450052.2161916325,1303430.0,411357.0,892073.0,101599.0,24114.379092151696,129084.0,83992.0,45092.0,28424.0,40867.82620840017,75611.0,4362.0,71249.0,24984.0,9215.22473952752,35317.0,17617.0,17700.0,17003.666666666668,6060.1894634848895,23036.0,10916.0,12120.0,6106.333333333333,1561.8045118814766,7623.0,4503.0,3120.0,3316.6666666666665,848.7781414087746,3976.0,2359.0,1617.0,710075.6666666666,19052.76815408621,730313.0,692484.0,37829.0
17,63,1203222,64048,17819,4771,14317,3044,3294,801732,N,789357.3333333334,397148.87933913805,1203222.0,411357.0,791865.0,94951.0,32638.09122788897,129084.0,64048.0,65036.0,32909.666666666664,37506.53944758611,75611.0,5299.0,70312.0,14802.0,8961.468685433205,22018.0,4771.0,17247.0,14097.333333333334,3077.3856328600227,17059.0,10916.0,6143.0,4580.0,1575.911482285729,6193.0,3044.0,3149.0,3089.3333333333335,652.5337794576873,3615.0,2359.0,1256.0,733882.0,59233.120836235306,801732.0,692484.0,109248.0
11,63,74890,59426,17115,7966,6051,2848,3522,760848,N,563156.3333333334,579280.2031455357,1203222.0,74890.0,1128332.0,84186.0,38951.42518573618,129084.0,59426.0,69658.0,36848.333333333336,33571.299488303,75611.0,17115.0,58496.0,11585.0,9175.381354472407,22018.0,4771.0,17247.0,12475.666666666666,5730.348796830196,17059.0,6051.0,11008.0,4028.3333333333335,1877.2161125808975,6193.0,2848.0,3345.0,3477.0,165.16355530201017,3615.0,3294.0,321.0,756670.0,47289.6242742536,801732.0,707430.0,94302.0
